id,reasoning,brand,car_model,imputed_year,imputed_mileage_km,imputed_condition,battery_status,is_accident_free,has_aftermarket_mods
165,sx 2025,VinFast,VF5 Plus,2025,33000,Đã qua sử dụng,,,False
166,-Đời 2025 | -màu đỏ | -Odo: 25.000 km,VinFast,VF5 Plus,2025,25000,Đã qua sử dụng,,True,True
167,- Xuất tiên phong bảo hành Pin không giới hạn Km |- sản xuất 2026,VinFast,Limo Green AT,2026,0,Mới 100%,Mua pin,,True
168,"mua pin, sản xuất 2025, đi 36.000 km, sơn zin còn nhiều, có BHTV, mua thêm lốp dự phòng, bệ tì tay",VinFast,VF5 Plus,2025,36000,Đã qua sử dụng,Mua pin,True,True
169,sàn ô tô ecopark về tiếp tục | thuê pin| chạy 1v9 km không lỗi nhỏ,VinFast,VF9 Plus,2024,1090,Đã qua sử dụng,Thuê pin,,False
170,"- Bảo hiệnh, bảo dưỡng, cam kết mọi tie̳u chuả̳n vè̲ xe. | Quỵ khạ̉ch hạ̀ng an tā̤m",VinFast,VF8 Plus AWD,2023,39783,Đã qua sử dụng,,False,False
171,đổi xe xăng sang xe điện giảm trực tiếp tiền mặt,,VF8 Plus AWD,2022,54000,Đã qua sử dụng,Mua pin,,False
172,giảm 5 triệu cho khách hàng đặt cọc tiên phong,,Minio Green,2025,0,Mới 100%,Mua pin,,False
173,Vinfast VF8 2026 | Xe điện mới 100%,VinFast,VF8 Eco,2026,0,Mới 100%,Mua pin,,True
174,"2023, màu đen, odo 4.7 vạn km",VinFast,VF8 Plus AWD,2023,47000,Đã qua sử dụng,,,True
175,"kích thước dài rộng cao, động cơ điện, sạc điện thấp, bảo dưỡng đơn giản",,Limo Green AT,2025,0,Mới 100%,Mua pin,,False
176,"Chính hãng với chứng chỉ Mercedes-Benz Certified, không có hư hại do tai nạn, thời gian sử dụng trước tối đa 5 năm hoặc 100.000 Km",Mercedes Benz,EQB 250,,,Đã qua sử dụng,null,True,False
177,Dòng xe: VinFast VF5 Plus | Đời xe: 2024,,VF5 Plus,2024,66000,Đã qua sử dụng,Mua pin,,False
178,TRẢ TRƯỚC CHỈ TỪ 45 TRIỆU LÀ CHÌA KHOÁ TRAO TAY | HỖ TRỢ VAY LÊN ĐẾN 90% GIÁ TRỊ XE,VinFast,VF3 Plus,,,Đã qua sử dụng,Mua pin,,False
179,"năm sản xuất: 2025, xuất xứ: lắp ráp",,VF9 Plus,2025,7000,Đã qua sử dụng,Mua pin,True,True
180,VF9 Plus- Mua pin CATL-2.000 km | Bản 7 ghế Thương Gia trần thép,VinFast,VF9 Plus,2024,2000,Đã qua sử dụng,Mua pin,,True
181,"đầm chắc và ổn định khi xe di chuyển qua các ổ gà hay đoạn đường mấp mô, trọng lượng nhẹ hơn",VinFast,VF6 Eco,2026,0,Mới 100%,Mua pin,,False
182,"mua pin, chưa qua sử dụng, mới 99.99%",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,False,True
183,"Vf9 Plus 2025 8000km, mua pin 7 chỗ trần kính",VinFast,VF9 Plus,2025,8000,Đã qua sử dụng,Mua pin,,True
184,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025,0,Mới 100%,,,True
185,#Vinfast_VF3 + Kèm Pin | SẴN XE SẴN MÀU GIAO NGAY,VinFast,VF3 Plus,2025,0,Mới 100%,Thuê Pin,,True
186,"- Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc. - Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng. - Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe",VinFast,VF8 Eco AWD,2023,0,Mới 100%,,True,False
187,odo 6.9 vạn km,VinFast,VF8 Plus AWD,2023,69000,Đã qua sử dụng,,,True
188,Xe điện mới 100%,VinFast,VF8 Eco,2026,0,Mới 100%,Mua pin,,True
189,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025,0,Mới 100%,,,True
190,"gian hàng rộng rãi, tăng kết nối cả gia đình, quãng đường di chuyển hơn 400km sau mỗi lần sạc",,Limo Green,2025,0,Mới 100%,Mua pin,,True
191,"VF9 Plus, nhận xe chỉ với 330 TRIỆU, hỗ trợ trả góp 80%, sạc tới 2027, thuế trước bạ 0 đồng đến T3/2027",VinFast,VF9 Plus,2025,0,Mới 100%,Mua pin,,True
192,"màu đen, nội thất nâu sang trọng, sản xuất 2023",VinFast,VF8 Plus AWD,2023,72000,Đã qua sử dụng,,,True
193,odo 20km xe chưa lăn bánh,VinFast,VF8 S,2024,0,Mới 100%,Mua pin,,False
194,"zin đẹp, dùng kỹ, odo chuẩn 4 vạn km, chưa từng đi lội nước",VinFast,VF5 Plus,2023,40000,Đã qua sử dụng,Mua pin,True,False
195,đổi xe xăng sang xe điện giảm trực tiếp tiền mặt,,VF8 S,2024,0,Mới 100%,Mua pin,,False
196,Khuyến Mãi Cực Hot Trong Tháng | Sẵn xe giao ngay | Thuế trước bạ 0% | Hỗ trợ vay 90% giá trị xe,VinFast,Limo Green,2025,0,Mới 100%,Thuê pin,,True
197,"siêu hot vf3 | thời gian sạc pin lên tới 70% trong chỉ 30 phút | nội thất rộng rãi cho 4 người, màn hình cảm ứng 10 inch | khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2026,0,Mới 100%,null,,True
198,sx 2024 đky 2025 odo 6v - 1 chủ từ đầu,VinFast,VF7 S,2024,6000,Đã qua sử dụng,,True,False
199,"THĂNG LONG CAR - THẾ GIỚI XE VINFAST LƯỚT xin kính chào quý khách hàng ! | Chúng tôi xin trân trọng giới thiệu đến quý khách hàng mẫu xe. | -Hãng xe: vinfast - xe vf8 pin SDI | -Loại xe : vinfast vf8 eco mua pin | -Phiên bản : bản plus | -Màu xe : Ngoại thất màu trắng - nâu | - Số km: 6v8 | - Năm sx :2023 -2 cầu | - Sổ bảo hành:Bảo hành bảo dưỡng chính hãng full ls bảo dưỡng hãng kèm theo. | - giá yêu thương: giảm trừ 70tr khi đổi xe xăng sang xe điện! giảm 20tr ctrinh tháng. tặng 1 năm bao hiểm thân vỏ - còn 660tr | -Cam kết chất lượng bằng văn bản có giá trị pháp lý: | • Xe không đâm đụng ảnh hưởng khung gầm sắt xi. | • Xe không ngập nước, thủy kích. | • Xe không tháo cẩu máy, bổ máy. | • Hồ sơ pháp lý rõ ràng và đầy đủ, đủ điều kiện sang tên đổi biển | • Xe không phạt nguội.",VinFast,VF8 Plus AWD,2023,6800,Đã qua sử dụng,Mua pin,True,False
200,"miễn phí 100% phí trước bạ, hỗ trợ vay 80%",VinFast,VF5 Plus,2025,0,Mới 100%,,,True
201,mới new 2025,VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,False
202,Vinfast VF8 2026 | Xe điện mới 100%,VinFast,VF8 Eco,2026,0,Mới 100%,Mua pin,,True
203,"VF8 Eco trắng đen pin sdi đã mua đứt pin, chính hãng GF bảo hành",VinFast,VF8 Eco,2023,53000,Đã qua sử dụng,Mua pin,,False
204,"- Giảm ngay 4% Giá Trị Xe | - Giảm 15TR Đổi Xe Xăng Sang Điện | - TẶNG 7,5TR VPoint ra biển HN | - Hỗ trợ Trả Góp Tối đa 90% Giá Trị xe ls ưu đãi từ 6% | - Miễn Phí SẠC đến 30/06//2027, | - Giảm 100% THUẾ trước bạ | - Hỗ trợ đăng kí Platform, Grab, Bee miễn phí !",VinFast,Limo Green AT,2025,0,Mới 100%,Mua pin,,True
205,VinFast VF9 Eco 2026,,,,,Đã qua sử dụng,null,,True
206,"- Bảo hiệnh, bảo dưỡng, cam ke̊̂t mő̂i tie̲̅u chuā̳n vě̲ xe. - Quý kha̓̂ch hâ̕ng an tạ̍m, lie̲̅n hê̵: - Ho̊̉ trơ̋̂ mieu thū̥c trü̧õc, trong và sau bán. - Ho̊̉ trơ̋̂ tra̲̅i gọ̍p lǎ̳i sua̓́t ǔ̦u đā̂i. - Ũ̧u đä̉i cṳ̏c to̡̊̂t ĐŐ̪̅I XĂNG SANG ĐIE̲̍N: Giǎ̗m 70 triẹ̄u. - Tã̢̈ng Ba̓̉o hiê̳nh thâ̕n vo̊̋/go̧̅p, Thu cũ xe mới, quy đổi BHTV và quà tặng theo chính sách của GF",,,,,,,,False
207,giao NGAY - BÁN TOÀN QUỐC | + Tặng sạc miễn phí lên tới 3 năm | + Miễn 100% lệ phí trước bạ,VinFast,VF MPV 7,2026,0,Mới 100%,,,False
208,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025,0,Mới 100%,,,True
209,#Vinfast_VF8 + Kèm Pin | SẴN XE SẴN MÀU GIAO NGAY | Hỗ trợ vay lên tới 80% | Hỗ trợ chứng minh thu nhập - bao hồ sơ khó | Hỗ trợ giao xe tận nhà | Cứu hộ miễn phí 24/7 | Hỗ Trợ Đăng Kí Đăng Kiểm Xe,VinFast,VF8 Eco,2025,0,Mới 100%,Mua pin,,False
210,"- Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc. - Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng. - Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe",VinFast,VF8 Eco,2023,0,Mới 100%,Mua pin,True,False
211,odo 3.1v km,VinFast,VF8 Eco AWD,2023,3100,Đã qua sử dụng,Mua pin,,False
212,Xe điện mới 100%,VinFast,VF8 Eco,2026,0,Mới 100%,Mua pin,,True
213,"Giao xe ngay, đủ màu lựa chọn! | Trang bị: hệ thống thông tin giải trí với màn hình cảm ứng cỡ lớn 15,6 inch, hỗ trợ kết nối điện thoại, dàn âm thanh 13 loa, cổng kết nối USB loại C, đèn trang trí nội thất đa màu...Trần kính toàn cảnh chỉ có trên bản PLus cao cấp. | Ngoài ra, xe còn sở hữu hệ thống điều hòa tự động 2 vùng đi kèm cửa gió điều hòa cho hàng ghế sau, bơm nhiệt, chức năng kiểm soát chất lượng không khí, lọc không khí cabin HEPA 1.0...",VinFast,VF9 Plus,2024,0,Mới 100%,,,True
214,bán ra chỉ một phiên bản với hành trình 521 km,BYD,Han EV,,0,Mới 100%,,,True
215,"siêu hot vf3, thời gian sạc pin lên tới 70% trong chỉ 30 phút, nội thất rộng rãi cho 4 người, màn hình cảm ứng 10 inch, khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị, đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2026,0,Mới 100%,null,,True
216,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025,0,Mới 100%,,,False
217,"THĂNG LONG CAR - THẾ GIỚI XE VINFAST LƯỚT xin kính chào quý khách hàng ! | Chúng tôi xin trân trọng giới thiệu đến quý khách hàng mẫu xe. | -Hãng xe: vinfast - xe vf8 pin SDI | -Loại xe : vinfast vf8 plus mua pin | -Phiên bản : bản plus | -Màu xe : Ngoại thất màu bạc - nâu | - Số km: 3v km | - Năm sx :2022 -2 cầu | - Sổ bảo hành:Bảo hành bảo dưỡng chính hãng full ls bảo dưỡng hãng kèm theo. | • Xe không đâm đụng ảnh hưởng khung gầm sắt xi. | • Xe không ngập nước, thủy kích. | • Xe không tháo cẩu máy, bổ máy. | • Hồ sơ pháp lý rõ ràng và đầy đủ, đủ điều kiện sang tên đổi biển | • Xe không phạt nguội.",VinFast,VF8 Plus AWD,2022,30000,Đã qua sử dụng,Mua pin,True,False
218,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2026,0,Mới 100%,Mua pin,,True
219,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2026,0,Mới 100%,Mua pin,,True
220,VF7 - Nhận xe Chỉ với 180 TRIỆU | Sẵn xe GIAO NGAY | Hỗ trợ trả góp 80% giá trị xe | THUẾ trước bạ 0 đồng đến T3/2026,VinFast,VF7,,0,Mới 100%,Mua pin,,False
221,"zin Auto chào bán VF8 sx 2023 rât mơî, cam kê�t xe không đâm va ngập nước, keo chỉ máy số zin 100%",VinFast,VF8 Plus AWD,2023,0,Mới 100%,,True,False
222,"sử dụng như mới, cam kết không đâm va ngập nước",VinFast,VF5 Plus,2025,0,Mới 100%,,True,False
223,"tên cá nhân, 1 chủ từ mới, ODO 2v km, Xe Full lịch sử Hãng",VinFast,VF6 Plus,2025,2000,Đã qua sử dụng,,True,False
224,"chạy 53000km, hệ thống ADAS, cửa sổ trời toàn cảnh Panorama, ghế da cao cấp chỉnh điện, điều hòa tự động 2 vùng độc lập, lọc không khí PM2.5, cụm đèn Full LED hiện đại, hệ thống an toàn 5 sao",VinFast,VF8 Plus AWD,2023,53000,Đã qua sử dụng,,,True
225,"miễn phí thuế trước bạ, miễn phí bảo hiểm, miễn phí gửi xe, hỗ trợ đăng ký chạy Xanh SM",VinFast,VF5 Plus,,0,Mới 100%,,,True
226,"- Trang bị: bộ mâm 5 chấu kép kích thước 21 inch bọc trong bộ lốp Pirelli 255/40R21, tay nắm cửa đồng màu thân xe, gương chiếu hậu tích hợp sấy và camera, các thông tin về xe sẽ được hiển thị trên kính lái HUD như: tốc độ, dung lượng pin, điều hòa tự động 2 vùng với cửa gió điều hòa cho hàng ghế sau, bơm nhiệt, chức năng kiểm soát chất lượng không khí, lọc không khí cabin HEPA 1.0, gương chống chói tràn viền, dàn âm thanh 8 loa",VinFast,VF8 Plus AWD,2024,0,Mới 100%,,True,True
227,sx 2024,VinFast,VF6 Plus,2024,50000,Đã qua sử dụng,,,False
228,#Vinfast_VF5 + Kèm Pin,VinFast,VF5 Plus,2025,0,Mới 100%,Mua pin,,False
229,"- Bảo hành, bảo dưỡng, cam kết mới nhất cho xe",,VF8 S,2024,0,Mới 100%,,,False
230,"GIÁO XE NGAY, ĐỦ MÀU LỰA CHỌN! | FREE sạc tới 2027 , FREE trước bạ",VinFast,VF9 Plus,2025,0,Mới 100%,Thuê pin,,False
231,VINFAST VF3 MUA PIN 2024,VinFast,VF3 Plus,2024,12000,Đã qua sử dụng,Mua pin,,True
232,GIÁ SIÊU DỄ TIẾP CẬN! | Sạc tiện lợi | Giá tốt nhất phân khúc,VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,False
233,"kỉ nguyên mới là xe điện, chạy sướng nhất, không mất chi phí sử dụng trong 3 năm",VinFast,VF9 Plus,2025,0,Mới 100%,Mua pin,,False
234,Vinfast VF8 2026 | Xe điện mới 100%,VinFast,VF8 Eco,2026,0,Mới 100%,Mua pin,,True
235,sx 2023 đky 2024 màu xám nội thất ghế da bò gốc HN | Odo 14v xe 1 chủ từ đầu bảo dưỡng đều,VinFast,VF6 Plus,2023,14000,Đã qua sử dụng,,True,False
236,"NỘI THẤT VF 6 HIỆN ĐẠI, PHÓNG KHOÁNG",VinFast,VF6 Plus,2026,0,Mới 100%,,,True
237,"sx 2024 | Odo 2,4vkm | Động cơ, hộp số nguyên bản | Xe không đâm đụng, tai nạn, keo chỉ nguyên bản | Không ngập nước, thuỷ kích | Pháp lý rõ ràng",VinFast,VF5 Plus,2024,24000,Đã qua sử dụng,,True,False
238,BÁN NHANH VF8 PLUS | Màu ĐEN sang trọng | Lịch sử bảo dưỡng đầy đủ,VinFast,VF8 Plus AWD,2023,0,Mới 100%,Mua pin,,False
239,BÁN NHANH VF8 ECO | Màuđen sang trọng | Lịch sử bảo dưỡng đầy đủ,VinFast,VF8 Eco,2023,0,Mới 100%,Thuê pin,,True
240,BÁN NHANH VF8 PLUS | Lịch sử bảo dưỡng đầy đủ | chính hãng VinFast,VinFast,VF8 Plus AWD,2023,0,Mới 100%,null,,False
241,VF8 Plus - sx 2023 | Odo 4v1km | Pin CATL,VinFast,VF8 Plus AWD,2023,4000,Đã qua sử dụng,Mua pin,True,False
242,"pin CATL date 2024, ODO 24110km",VinFast,VF8 S,2024,24110,Đã qua sử dụng,Mua pin,,False
243,Odo 35.000km zin,VinFast,VF6 Plus,2025,35000,Đã qua sử dụng,,True,True
244,- Xe chính chủ 1 chủ từ đầu biển trắng odo k taxi dịch vụ. Full lịch sử hãng sơn zin gần như cả xe.,VinFast,VF8 Eco,2023,0,Mới 100%,null,True,False
245,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025,5,,,,False
246,"đúng chất xe mới xuất xưởng, gần như chưa lăn bánh",VinFast,VF8 Plus AWD,2024,0,Mới 100%,,True,False
247,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2026,0,Mới 100%,Mua pin,,True
248,chạy 44000km,VinFast,VF8 Eco,2023,44000,Đã qua sử dụng,,,True
249,"trả trước chỉ từ 322 triệu đồng | bảo hành xe 6 năm hoặc 150.000 km, bảo hành pin 8 năm hoặc 160.000 km",BYD,Han EV,,0,Mới 100%,Mua pin,,True
250,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",VinFast,VF5 Plus,2026,0,Mới 100%,Mua pin,,False
251,"biển tỉnh, 7vạn, thuê pin tiên phong",VinFast,VF e34 AT,2022,70000,Đã qua sử dụng,Thuê pin,,True
252,- Mạnh Liệt Tương Lai Xanh giảm 6% | - Quy đổi xe Vin2025 | - Hạng Vinclub Dimond,VinFast,VF3 Plus,2025,0,Mới 100%,,,True
253,sx 2025 | Trang bị đầy đủ các tiện ích của dòng,VinFast,VF5 Plus,2025,35000,Đã qua sử dụng,,,True
254,"pin thuê, odo tròn 1v km, đã lên cam 360",VinFast,VF3 Plus,2024,,Đã qua sử dụng,Thuê pin,,True
255,Pin mua | Xe đi cực lướt chỉ 25.000km | Sạc free đến 30/12/2027,VinFast,VF6 Plus,2024,25000,Đã qua sử dụng,Mua pin,,False
256,miễn phí sạc pin đến 01/07/2027 (Không giới hạn) – Chạy xe không lo chi phí nhiên liệu,VinFast,VF5 Plus,2025,0,Mới 100%,Mua pin,,False
257,"odo 5.2vkm, xuất hoá đơn cao, chất lượng khung gầm máy số nguyên bản, giảm 70tr đổi sang điện",VinFast,VF8 Eco AWD,2023,5200,Đã qua sử dụng,,,True
258,- Xuất tiên phong không giới hạn bảo hành Pin theo km,VinFast,Limo Green AT,2026,0,Mới 100%,Mua pin,,False
259,"HAIMA 7X-E – MPV ĐIỆN 7 CHỖ CAO CẤP, DẪN ĐẦU XU HƯỚNG LÁI THÔNG MINH! | Sạc siêu nhanh chỉ 11 phút (30% → 80%), sẵn sàng đồng hành ngay khi bạn cần. | Tăng tốc 0–100km/h chỉ 8,2 giây",,7X-E Premium,2026,0,Mới 100%,Mua pin,,False
260,VF3 - Nhận xe với 0 ĐỒNG | Sẵn xe GIAO NGAY | Hỗ trợ trả góp 100% giá trị xe | FREE sạc tới 2027,VinFast,VF3 Plus,2025,0,Mới 100%,null,,False
261,"- Bảo hiệnh, bảo dưỡng, cam kết mọi tie̳u chuả̳n vè̲ xe. | Quý kha̅̉ch hā̧ng an tā̤m, lie̦̋n hệ: | - Hỡ trö̥ mieu thū̡c trườc, trong và sau bán. | - Hỡ trö̥ tra̧̋p la̦̋i suạ̉t ṳ̂u đa̧̅i. | - Ṳ̌u đa̧̅i cṳ̄c to̡̍c ĐO̲̊I XĂNG SANG ĐIE̳̋N: Giä̧m 70 triệu. | - Ta̢̋ng Ba̧̅o hiȩ̄nh thā̧n vỏ̤ BHTV và quà tặng theo chính sách của GF",,,,,,,,False
262,"- Trang bị: bộ mâm 5 chấu kép kích thước 20 inch bọc trong bộ lốp Pirelli 255/40R20, tay nắm cửa đồng màu thân xe, gương chiếu hậu tích hợp sấy và camera, các thông tin về xe sẽ được hiển thị trên kính lái HUD như: tốc độ, dung lượng pin, điều hòa tự động 2 vùng với cửa gió điều hòa cho hàng ghế sau, bơm nhiệt, chức năng kiểm soát chất lượng không khí, lọc không khí cabin HEPA 1.0,...",VinFast,VF8 Plus AWD,2026,0,Mới 100%,,,True
263,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2026,0,Mới 100%,Mua pin,,True
264,"sẵn xe, giao ngay, miễn phí lệ phí trước bạ, miễn phí sạc pin đến tháng 07/2027",,Minio Green,2025,0,Mới 100%,Mua pin,,False
265,"không kinh doanh, tặng bảo hiểm, chuyển đổi xe",VinFast,VF8 Eco AWD,2024,0,Mới 100%,,False,False
266,"nhận xe, giao ngay, hỗ trợ trả góp, sạc tới 2027",VinFast,VF5 Plus,2025,0,Mới 100%,Mua pin,,False
267,Đổi xe xăng sang xe điện giảm trực tiếp tiền mặt và tặng 20 triệu tiền mặt,,VF8 Plus AWD,2024,45000,Đã qua sử dụng,Mua pin,,False
268,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025,5,,,,False
269,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",,VF5 Plus,2026,0,Mới 100%,Mua pin,,False
270,"Động Cơ Mạnh Mẽ – Tận Hưởng Cảm Giác Lái Mượt Mà | Công suất 260 kW (~349 mã lực), mô-men xoắn 500 Nm – Tăng tốc nhanh, lái êm ái. | Dẫn động 4 bánh toàn thời gian(AWD) – Vận hành ổn định, tiết kiệm năng lượng. | Tầm di chuyển lên đến 471 km/lần sạc – Thoải mái di chuyển đường dài.",VinFast,VF8 Eco,2025,0,Mới 100%,,,True
271,chạy 47000km,VinFast,VF8 Plus AWD,2023,47000,Đã qua sử dụng,,,True
272,cực mới odo 3v zin mọi thứ,VinFast,VF5 Plus,2024,3000,Đã qua sử dụng,Mua pin,,False
273,"mua pin, odo 9000km, trang bị gần 100T phụ kiện",VinFast,VF3 Plus,2025,9000,Đã qua sử dụng,Mua pin,,True
274,sx 2025 | odo 2 vạn km,VinFast,VF5 Plus,2025,20000,Đã qua sử dụng,,,False
275,"thuần điện, công suất 313 mã lực, WLTP",,Countryman SE-ALL4,2025,0,Mới 100%,Mua pin,,False
276,"- Giảm ngay 4% Giá Trị Xe 
- Giảm 15TR Đổi Xe Xăng Sang Điện",VinFast,Limo Green AT,2026,0,Mới 100%,Thuê pin,,True
277,"Chào bán : VINFAST VF3 Trắng Mới 100% Mua Pin, đã gia cố càng A",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,False,True
278,"va chạm nhẹ, mua pin, chạy ít",VinFast,VF6 Plus,2024,,Đã qua sử dụng,Mua pin,False,False
279,"đầm chắc và ổn định khi xe di chuyển qua các ổ gà hay đoạn đường mấp mô, trọng lượng nhẹ hơn",VinFast,VF6 Eco,2025,0,Mới 100%,Mua pin,,False
280,tương lái xe điên cao cấp,Mercedes-Benz,EQE 500 4Matic,2024,0,Mới 100%,Mua pin,,False
281,"xám nội thất kem, cửa sổ trời, Pin mới CATL, ODO 3,1 vạn km, Hỗ trợ thu xăng đổi điện",VinFast,VF8 Plus AWD,2023,31000,Đã qua sử dụng,Mua pin,,True
282,Full option | Nhập khẩu nguyên chiếc từ Đức,Audi,Q6 Etron,2025,0,Mới 100%,null,,True
283,"chìa khoá thông minh, ghế da, đèn Led, màn hình giải trí, Apple Carplay, Android Auto, Camera lùi",VinFast,VF5 Plus,2025,0,Mới 100%,,,True
284,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025,0,Mới 100%,,,True
285,"đầm chắc và ổn định khi di chuyển qua các ổ gà hay đoạn đường mấp mô, trọng lượng nhẹ hơn",VinFast,VF6 Eco,2025,0,Mới 100%,Mua pin,,False
286,Mới 100% | Mua pin | Sạc free,VinFast,Limo Green AT,2025,0,Mới 100%,Mua pin,,False
287,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025,5,,,,False
288,"siêu hot vf3, thời gian sạc pin lên tới 70% trong chỉ 30 phút, nội thất rộng rãi cho 4 người, màn hình cảm ứng 10 inch, khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị, đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2026,0,Mới 100%,,,True
289,"xuất xưởng năm 2025, mới về, mua pin miễn phí sạc đến năm 2028",VinFast,VF5 Plus,2025,0,Mới 100%,Mua pin,,True
290,"giá bán và thuê pin hấp dẫn, động cơ mạnh mẽ nhất phân khúc C-SUV",VinFast,VF7 Plus AWD,2025,0,Mới 100%,Mua pin,,True
291,"VINFAST EC VAN – Xe điện chở hàng nhỏ gọn, tiết kiệm cực đỉnh!",,EC Van,2025,0,Mới 100%,Mua pin,,False
292,"- Xe có thể tăng tốc 0-50 km/h trong khoảng 5,3 giây. - Dung lượng pin là 18,64 kWh, cho tầm hoạt động 210 km.",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,True
293,GF VF8 Plus 2023 | BKS: 79E-009.78 | Mua Pin SDI | Odo: 5.9v km,VinFast,VF8 Plus AWD,2023,5900,Đã qua sử dụng,Mua pin,,False
294,"THĂNG LONG CAR, VINFAST VF8 PLUS MUA PIN, KHÔNG ĐÂM ĐỤNG, KHÔNG NGẬP NƯỚC",,VF8 Plus,2023,30000,Đã qua sử dụng,Mua pin,True,False
295,"Cực HOT, Duy nhất 2 chiếc VF7 Plus Bản Full 2 cầu",,VF7 Plus AWD,,0,Mới 100%,,,True
296,"odo 4000km trắng nội thất đen, từ mới cam kết nguyên bản",VinFast,VF8 Plus AWD,2025,4000,Đã qua sử dụng,,True,False
297,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",,VF5 Plus,2026,0,Mới 100%,Mua pin,,False
298,"sẵn xe - giao ngay, miễn phí sạc pin đến tháng 07/2027, giảm giá ưu đãi cho KH đối tác của Vinfast",,Minio Green,2025,0,Mới 100%,Mua pin,,False
299,VF3 qua sử dụng | Xem xe tại : GF Nam Thái Bình Dương,,VF3 Plus,2024,,Đã qua sử dụng,Mua pin,,False
300,VF5 Đỏ Plus sản xuất 2024 | Odo :hơn 1v xe mới nhất Việt Nam,VinFast,VF5 Plus,2024,,Đã qua sử dụng,,,True
301,"mua pin, đi 62.000km, xuất sắc, giảm 70tr vào giá xe",VinFast,VF8 Plus AWD,2023,62000,Đã qua sử dụng,Mua pin,,False
302,"BMW iX3 M Sport, động cơ điện mạnh mẽ, nhiều công nghệ tiên tiến",BMW,iX3 M Sport,2023,0,Mới 100%,Mua pin,,True
303,"- Xe cam kết không đâm đụng, không ngập nước, bao check hãng toàn quốc. - Hỗ trợ sang tên đổi chủ, thủ tục giấy tờ pháp lý rõ ràng. - Chế độ bảo hành hậu mãi, chăm sóc xe miễn phí sau khi mua xe",VinFast,VF8 Plus AWD,2023,0,Mới 100%,,True,False
304,"THĂNG LONG CAR, pin mới CATL mua pin",VinFast,VF8 Eco,2023,20000,Đã qua sử dụng,Mua pin,True,False
305,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2026,0,Mới 100%,Mua pin,,True
